topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Totalruntimecentral;timestamps;Toplevelcostscentral
4.3655745685100555E-11;4.1981298106198685E-16;70.203790048;0.0;2141.4179989120003;1.431335737496E12;71783.88774684249
4.3655745685100555E-11;4.226305710736805E-16;1801.4300085440002;0.0;5947.51865848;1.431337879195E12;61214.981813918326
1.4551915228366852E-11;1.5458918373846055E-16;7.48939512;0.0;3956.2178745280003;1.431343826819E12;44922.941815250735
2.9103830456733704E-11;3.048981256326253E-16;43.422541120000005;0.0;11278.527738144001;1.43134778312E12;46836.49320801678
2.9103830456733704E-11;2.954861477505715E-16;12.290353248;0.0;2464.190699616;1.431359061733E12;52226.74340410387
1.4551915228366852E-11;1.4969867060805733E-16;5.578625328;0.0;;;49931.03832782792
1.4551915228366852E-11;1.5363687963488385E-16;4.602992096;0.0;;;45639.140482547424
0.0;0.0;4.45342472;0.0;;;38119.26783279038
1.4551915228366852E-11;1.5999919356822173E-16;4.926893856;0.0;;;39460.54566291595
5.820766091346741E-11;6.239664789759516E-16;7.303237136000001;0.0;;;43236.14278462788
1.4551915228366852E-11;1.523558744398465E-16;4.597211936;0.0;;;46933.666549521324
2.0372681319713593E-10;2.177219192147198E-15;5.793470480000001;0.0;;;43738.11960940028
0.0;0.0;14.174516688;0.0;;;35307.605701536144
2.9103830456733704E-11;3.15054297878086E-16;7.7880341600000005;0.0;;;41764.2101967622
2.9103830456733704E-11;3.09389818287653E-16;82.000920752;0.0;;;44532.20996200608
1.4551915228366852E-11;1.564357884643652E-16;7.8337266240000005;0.0;;;42946.37244622266
0.0;0.0;5.194701088;0.0;;;33693.81518992799
1.4551915228366852E-11;1.5720613411601112E-16;6.918063200000001;0.0;;;42069.552311145155
1.4551915228366852E-11;1.5283997082266253E-16;7.516104176000001;0.0;;;46430.3333385802
0.0;0.0;11.103967520000001;0.0;;;47453.09568796553
1.4551915228366852E-11;1.528732591115934E-16;7.505056400000001;0.0;;;46396.055457525756
1.4551915228366852E-11;1.5157950457463772E-16;6.587078592;0.0;;;47778.375805028096
1.4551915228366852E-11;1.4937551767183934E-16;7.716192544;0.0;;;50300.921926497685
0.0;0.0;4.9596066720000005;0.0;;;46813.776577794764
2.9103830456733704E-11;2.544190453887827E-16;50.151070432000004;0.0;;;113065.64329257395
4.3655745685100555E-11;3.841898820278616E-16;1801.330491872;0.0;;;101593.78525808205
